use_case,tool,method,supervised,url,data_type,missing_values,disease_case,input_data,n_samples,data_source,,
Disease subtyping,PARADIGM,Probabilistic graphical models using directed factor graphs,Unsupervised,http://paradigm.five3genomics.com/,Python,Multi-omics (numerical),NA,Glioblastoma multiforme,CNV segmentation; gene expression,230 patient samples and 10 adjacent normal tissues,"McLendon et al., 200826",
Disease subtyping,iCluster,Joint latent variable model–based clustering method,Unsupervised,https://cran.r-project.org/ web/packages/iCluster/,R package,Copy number; DNA methylation; gene expression; (numerical),NA,Breast cancer,Copy number; gene expression,37 primary breast cancer and 4 breast cancer cell lines,Pollack et al27,
Disease subtyping,iCluster,Joint latent variable model–based clustering method,Unsupervised,https://cran.r-project.org/ web/packages/iCluster/,R package,Copy number; DNA methylation; gene expression; (numerical),NA,Glioblastoma multiforme,Copy number; gene expression; DNA methylation,55 samples with all 3 data sets,"McLendon et al., 200826",
Disease subtyping,iClusterPlus,Generalized linear regression for the formulation of a joint model,Unsupervised,https://bioconductor.org/ packages/release/bioc/ html/iClusterPlus.html,R package,Multi-omics (numerical and categorical),NA,Colorectal cancer,Copy number; gene expression; DNA methylation; exome sequencing,189 colorectal carcinoma samples,TCGA,
Disease subtyping,LRAcluster,Probabilistic model with low-rank approximation,Unsupervised,http://bioinfo.au.tsinghua. edu.cn/software/lracluster/,R package,Multi-omics (numerical and categorical),NA,Cancer,"Mutations; CNVs; DNA methylation; gene expression for 11 different cancers (BRCA, COAD, GBM, HNSC, KIRC, LGG, LUAD, LUSC, PRAD, STAD and THCA)",3319 samples,TCGA,
Disease subtyping,PSDF,Data fusion by Bayesian nonparametric Dirichlet modeling,Unsupervised,https://sites.google.com/site/patientspecificdatafusion/,MATLAB,Copy number; gene expression(categorical),NA,Breast cancer,Copy number; gene expression,106 samples,Chin et al,
Disease subtyping,BCC,Bayesian consensus clustering,Unsupervised,https://github.com/ttriche/ bayesCC,R,Multi-omics (numerical),No,Breast cancer,Gene expression; DNA methylation; miRNA expression and protein,348 breast cancer samples,TCGA,
Disease subtyping,MDI,Bayesian models,Unsupervised,http://www2.warwick.ac.uk/fac/sci/systemsbiology/ research/software/,MATLAB,Multi-omics (numerical and categorical),NA,NA,NA,NA,NA,
Disease subtyping,SNF,Local K-nearest neighbors (KNN); nonlinear method based on message-passing theory,Unsupervised,http://compbio.cs.toronto.edu/SNF/SNF/Software.html,R/MATLAB,Multi-omics (numerical and categorical),No,Glioblastoma multiforme,mRNA expression; DNA methylation,215 patients GBM data,TCGA,
Disease subtyping,PFA,"Fusion method using PCA, k-means clustering",Unsupervised,http://www.sysbio.ac.cn/cb/chenlab/images/ PFApackage_0.1.rar,MATLAB,DNA methylation; miRNA expression; gene expression; protein expression; (numerical),No,Cancer,Gene expression; copy number,415 cell lines data,CCLE,
Disease subtyping,PFA,"""Fusion method using PCA, k-means clustering""",Unsupervised,http://www.sysbio.ac.cn/cb/ chenlab/images/ PFApackage_0.1.rar,MATLAB,"""DNA methylation; miRNA expression; gene expression; protein expression; (numerical)""",No,Kidney renal clear cell carcinoma,"""Gene expression; miRNA expression; DNA methylation""","""122 KIRC samples""","TCGA ",
Disease subtyping,PINSPlus,Similarity-based Clustering,Unsupervised,https://cran.r-project.org/ web/packages/PINSPlus/ index.html,R package,Multi-omics (numerical),NA,Cancer,36 cancer data sets,"""3653 samples""",TCGA and METABRIC,
Disease subtyping,NEMO,Similarity-based Clustering,Unsupervised,https://github.com/ Shamir-Lab/NEMO,R package,Multi-omics (numerical),Yes,Acute myeloid leukemia,"""DNA methylation; miRNA expression; gene expression""","""Gene expression: 173 samples; miRNA expression: 188 samples; DNA methylation: 194 samples""",TCGA,
Disease subtyping,moCluster,"""Consensus PCA (CPCA) approach""",Unsupervised,https://bioconductor.org/ packages/release/bioc/ html/mogsa.html,R package,Multi-omics (numerical),No,Colorectal cancer,"""Gene expression; DNA methylation; proteomics""",83 colorectal cancer patients,TCGA; CPTAC,
Disease subtyping,MCIA,Multiple co-inertia analysis,Unsupervised,http://bioconductor.org/ packages/release/bioc/ html/omicade4.html,R package,Multi-omics (numerical),No,Ovarian cancer,"""Gene expression from multiple platforms (Agilent G4502A, Affymetrix HG-U133 2.0, Illumina HiSeq)""",266 ovarian cancer gene expression data,TCGA,
Disease subtyping,JIVE,Decomposition method with low-rank approximations,Unsupervised,https://genome.unc.edu/ jive/,MATLAB,Multi-omics (numerical),Yes,Breast cancer,"""DNA methylation; miRNA expression; gene expression""",348 samples,TCGA,
Disease subtyping,MFA,Multiple factor analysis,Unsupervised,http://factominer.free.fr/,R package,Multi-omics (numerical and categorical),Yes,Glioma,CGH-array; gene expression,43 samples,Bredel et al,
Disease subtyping; biomarker prediction,mixOmics,"Supervised and unsupervised multivariate methods like PLS, SPLS, sGCCA, sPLSDA, and so on",Supervised; Unsupervised,http://mixomics.org/,R package,Multi-omics (numerical and categorical),Yes,Breast Cancer,Gene expression; Proteomics; miRNA expression,150 samples,TCGA,
Biomarker prediction,MOFA,Probabilistic Bayesian model,Unsupervised,https://github.com/bioFAM/ MOFA,R/Python,Multi-omics (numerical and categorical),Yes,Chronic lymphocytic leukemia,"""Mutation; gene expression, DNA methylation; drug response data (63 drugs)""",200 samples of leukemia and lymphoma,Dietrich et al31,
Biomarker prediction,NetICS,Network diffusion method,Unsupervised,https://github.com/cbg-ethz/ netics,MATLAB,Multi-omics (numerical and categorical),NA,Cancer,Somatic mutations; CNVs; gene expression; miRNA expression,"""UCEC: 560 samples; LIHC: 377 samples; BLCA: 412 samples; BRCA: 1098 samples; LUSC: 504 samples""",TCGA,
Disease insights,Joint Bayesian factor,Joint Bayesian factor,Unsupervised,https://sites.google.com/ site/jointgenomics/,MATLAB,Multi-omics (numerical),No,Ovarian cancer,"""DNA methylation; copy number; gene expression""",74 samples,TCGA,
Disease insights,CNAmet,"Correlation between copy number, methylation, and gene expression using permutation test",Unsupervised,http://csbi.ltdk.helsinki.fi/ CNAmet/,R package,Copy number; DNA methylation; gene expression (numerical and categorical),NA,Glioblastoma multiforme,"""Copy number; gene expression; DNA methylation""",50 samples,TCGA,
Disease insights,MCIA,Multiple co-inertia analysis,Unsupervised,http://bioconductor.org/ packages/release/bioc/ html/omicade4.html,R package,Multi-omics (numerical),No,Cancer,"Gene expression; protein expression of NCI-60 panel of leukemia, lymphomas, melanomas, and carcinomas from 9 different tissues",59 cancer cell lines data,CELLMINER (http:// discover.nci.nih.gov/ cellminer/home.do); http://wzw.tum.de/ proteomics/NCI60/; https://www. proteomicsdb.org,
Disease insights,Joint NMF,NMF,Semi- supervised,https://academic.oup.com/ nar/ article/40/19/9379/2414808,MATLAB,Multi-omics (numerical),NA,Ovarian cancer,"""DNA methylation; miRNA expression; gene expression""",385 samples,TCGA,
